student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,last_updated
S1033,18,Female,4,0.9,1.1,No,99.5,5.8,Poor,2,,Average,5,No,70.7,2025-06-10T22:25:08Z
S1034,22,Female,1.1,2.7,0.1,No,100,7.7,Fair,1,High School,Good,4,No,51.2,2025-06-10T22:25:08Z
S1035,21,Female,4.2,1.7,0,Yes,84.2,6.5,Good,1,Bachelor,Average,3,No,72.6,2025-06-10T22:25:08Z
S1036,20,Female,3.5,3,2.6,No,74.9,7.3,Fair,3,High School,Good,4,No,70.7,2025-06-10T22:25:08Z
S1037,17,Male,4.3,2.5,0,Yes,64.1,3.9,Good,0,High School,Average,2,No,59.4,2025-06-10T22:25:08Z
S1038,17,Male,3.8,1.7,1.4,No,70.3,7,Poor,0,Bachelor,Good,1,No,58.1,2025-06-10T22:25:08Z
S1039,19,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,3,No,82.3,2025-06-10T22:25:08Z
S1040,19,Female,3.7,4.7,2,No,98.8,8.5,Good,6,Bachelor,Good,2,No,69.7,2025-06-10T22:25:08Z
S1041,23,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6,Bachelor,Average,1,No,66,2025-06-10T22:25:08Z
S1042,18,Male,3.7,3.4,2,No,88.9,6.8,Fair,3,High School,Poor,1,Yes,63.5,2025-06-10T22:25:08Z
S1043,24,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0,Bachelor,Good,2,No,65.7,2025-06-10T22:25:08Z
S1044,20,Female,3.6,1.4,0.8,No,73,5.3,Good,4,High School,Poor,9,No,78.5,2025-06-10T22:25:08Z
S1045,20,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1,Bachelor,Average,5,Yes,75.1,2025-06-10T22:25:08Z
S1046,24,Male,2.4,4.3,1,No,87.9,8.9,Poor,5,High School,Average,9,Yes,71,2025-06-10T22:25:08Z
S1047,23,Female,2.5,2.9,2.7,No,83.5,7,Good,4,,Good,8,Yes,59.7,2025-06-10T22:25:08Z
S1048,22,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3,Bachelor,Good,6,No,52.6,2025-06-10T22:25:08Z
S1049,22,Female,6.1,2.5,2.3,No,100,5.8,Poor,5,High School,Average,1,No,96.5,2025-06-10T22:25:08Z
S1050,23,Female,1.6,1,3.1,No,82.8,5.5,Fair,4,Master,Good,10,Yes,62,2025-06-10T22:25:08Z
S1051,22,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0,High School,Average,5,No,59.7,2025-06-10T22:25:08Z
S1052,19,Female,2.4,3.6,3.6,No,86.9,7,Fair,6,High School,Average,1,No,48.4,2025-06-10T22:25:08Z
S1053,20,Female,4.8,2,3.5,No,100,6,Good,0,Bachelor,Good,7,Yes,70.6,2025-06-10T22:25:08Z
S1054,23,Female,3.1,1.9,2.6,Yes,64,7.1,Fair,5,High School,Good,10,No,68.1,2025-06-10T22:25:08Z
S1055,20,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2,High School,Good,8,No,87.2,2025-06-10T22:25:08Z
S1056,24,Male,2.5,2,0,No,83.9,5.3,Good,6,Bachelor,Average,8,No,66.7,2025-06-10T22:25:08Z
S1057,17,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1,Bachelor,Average,7,Yes,75.2,2025-06-10T22:25:08Z
S1058,19,Female,2.2,5,1,No,78.4,7.5,Poor,5,Master,Average,2,Yes,46.4,2025-06-10T22:25:08Z
S1059,21,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3,Master,Average,5,Yes,97.1,2025-06-10T22:25:08Z
S1060,19,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1,High School,Average,4,No,61.2,2025-06-10T22:25:08Z
S1061,23,Male,4,1.7,2.6,No,100,5,Fair,4,Bachelor,Good,5,No,75,2025-06-10T22:25:08Z
S1062,21,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6,High School,Good,10,No,94.7,2025-06-10T22:25:08Z
S1063,17,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3,Bachelor,Average,9,No,77.6,2025-06-10T22:25:08Z
S1064,23,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,4,Yes,68.6,2025-06-10T22:25:08Z
S1065,18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,8,No,69.6,2025-06-10T22:25:08Z
S1066,20,Male,3.6,4.2,0.9,No,67,5.4,Good,4,Bachelor,Average,8,No,66.5,2025-06-10T22:25:08Z
S1067,17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,2,No,62.2,2025-06-10T22:25:08Z
S1068,20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,6,No,82.1,2025-06-10T22:25:08Z
S1069,22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,5,No,100,2025-06-10T22:25:08Z
S1070,18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,2,Yes,59.7,2025-06-10T22:25:08Z
S1071,18,Female,1.4,3.4,0,No,89.9,4.6,Fair,0,High School,Poor,10,Yes,55.1,2025-06-10T22:25:08Z
S1072,17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,4,Yes,77.1,2025-06-10T22:25:08Z
S1073,18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,7,Yes,97.7,2025-06-10T22:25:08Z
S1074,21,Female,2.3,1,0.4,No,100,6.4,Fair,6,,Good,1,No,66.9,2025-06-10T22:25:08Z
S1075,18,Female,6,3.4,2,Yes,92.3,7,Fair,0,Bachelor,Good,9,Yes,99.9,2025-06-10T22:25:08Z
S1076,20,Male,6,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,10,Yes,100,2025-06-10T22:25:08Z
S1077,20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,1,No,57.2,2025-06-10T22:25:08Z
S1078,23,Female,4.4,2,2,Yes,85.8,7.1,Good,4,Master,Good,5,No,77.3,2025-06-10T22:25:08Z
S1079,20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,7,No,91.6,2025-06-10T22:25:08Z
S1080,23,Male,2.9,2.6,1.8,No,64,9.1,Good,6,High School,Good,8,No,70.7,2025-06-10T22:25:08Z
S1081,20,Other,3.2,3.2,5,No,100,6.7,Good,5,High School,Poor,2,No,57.6,2025-06-10T22:25:08Z
S1082,21,Female,2.6,4.9,0,Yes,86.6,6.3,Fair,6,High School,Poor,4,No,60.2,2025-06-10T22:25:08Z
S1083,24,Male,2,0.6,3,No,89,7.7,Poor,6,High School,Good,2,Yes,50.5,2025-06-10T22:25:08Z
S1084,23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,4,No,51.3,2025-06-10T22:25:08Z
S1085,19,Male,1.7,2.6,2.6,No,77.6,7,Good,4,Bachelor,Good,6,No,53.5,2025-06-10T22:25:08Z
S1086,22,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,6,No,79.2,2025-06-10T22:25:08Z
S1087,17,Male,2.3,0.9,1,No,69,6.2,Fair,1,Master,Average,2,Yes,47.2,2025-06-10T22:25:08Z
S1088,20,Male,3.9,2.3,2.1,No,100,6.1,Poor,6,Bachelor,Good,4,No,73.4,2025-06-10T22:25:08Z
S1089,18,Male,1.2,3.6,0,No,72.7,6.6,Poor,4,High School,Average,4,Yes,41.1,2025-06-10T22:25:08Z
S1090,24,Male,4,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,1,No,77.8,2025-06-10T22:25:08Z
S1091,20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,2,No,63.4,2025-06-10T22:25:08Z
S1092,18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,3,No,43.9,2025-06-10T22:25:08Z
S1093,22,Male,4.1,2.5,3,No,85.1,5.8,Good,4,,Good,5,No,70.2,2025-06-10T22:25:08Z
S1094,22,Female,5.3,1,2.2,No,72.6,4.5,Fair,0,High School,Average,8,No,81.3,2025-06-10T22:25:08Z
S1095,22,Male,1.7,2.9,2,No,97.5,6,Good,0,High School,Good,6,No,50.2,2025-06-10T22:25:08Z
S1096,18,Female,6,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,3,No,87.9,2025-06-10T22:25:08Z
S1097,20,Male,4.1,2,1,No,90.4,5.4,Good,5,Bachelor,Average,6,No,80.9,2025-06-10T22:25:08Z
S1098,22,Male,2.4,0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,7,Yes,63.9,2025-06-10T22:25:08Z
S1099,21,Male,3.4,2.7,3.4,No,100,6.6,Good,1,High School,Good,6,No,65.6,2025-06-10T22:25:08Z
S1100,23,Male,4.3,3,1.5,No,100,7.5,Good,5,,Average,10,Yes,93.2,2025-06-10T22:25:08Z
S1101,18,Male,3.6,3,1.9,No,78.1,4.5,Good,6,Bachelor,Average,6,No,74,2025-06-10T22:25:08Z
S1102,18,Male,4.3,4,0.8,No,100,7.5,Fair,0,,Average,1,No,60.8,2025-06-10T22:25:08Z
S1103,20,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,3,No,50.4,2025-06-10T22:25:08Z
S1104,18,Male,3.8,3.3,2.5,No,90,7.6,Good,5,Bachelor,Good,7,No,74.3,2025-06-10T22:25:08Z
S1105,18,Male,1.4,3.9,3.9,Yes,68.1,8,Good,4,High School,Average,4,Yes,32.8,2025-06-10T22:25:08Z
S1106,22,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,4,Yes,82.3,2025-06-10T22:25:08Z
S1107,20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,,Average,7,No,60.4,2025-06-10T22:25:08Z
S1108,22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,9,Yes,60,2025-06-10T22:25:08Z
S1109,23,Female,5.4,2.4,2.5,No,95.7,6,Fair,2,High School,Good,2,No,77.5,2025-06-10T22:25:08Z
S1110,24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,9,Yes,86.5,2025-06-10T22:25:08Z
S1111,23,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,3,No,76.9,2025-06-10T22:25:08Z
S1112,24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,6,Yes,43.9,2025-06-10T22:25:08Z
S1113,22,Male,3,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,4,No,51.3,2025-06-10T22:25:08Z
S1114,23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,1,No,83.3,2025-06-10T22:25:08Z
S1115,20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,,Good,9,No,82.7,2025-06-10T22:25:08Z
S1116,17,Male,7,3.3,3.1,No,88.4,6.1,Good,5,,Average,6,Yes,94.8,2025-06-10T22:25:08Z
S1117,22,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,,Good,8,No,80.8,2025-06-10T22:25:08Z
S1118,24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,2,Yes,58.3,2025-06-10T22:25:08Z
S1119,21,Female,3,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,7,No,66.3,2025-06-10T22:25:08Z
S1120,24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,6,No,87.9,2025-06-10T22:25:08Z
S1121,21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,2,No,60.5,2025-06-10T22:25:08Z
S1122,18,Male,4.6,3.9,0,No,83.6,9.7,Poor,3,High School,Good,2,No,84.8,2025-06-10T22:25:08Z
S1123,23,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1,Bachelor,Average,4,No,77,2025-06-10T22:25:08Z
S1124,21,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2,Bachelor,Average,4,No,61.7,2025-06-10T22:25:08Z
S1125,24,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0,High School,Average,3,No,44,2025-06-10T22:25:08Z
S1126,18,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1,High School,Poor,8,No,42.4,2025-06-10T22:25:08Z
S1127,17,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5,Bachelor,Good,7,No,88,2025-06-10T22:25:08Z
S1128,20,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0,High School,Good,2,No,48.7,2025-06-10T22:25:08Z
S1129,20,Male,0.3,4.2,1.5,No,83,6.2,Good,1,High School,Average,3,Yes,26.8,2025-06-10T22:25:08Z
S1130,20,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5,Bachelor,Good,10,No,81.6,2025-06-10T22:25:08Z
S1131,21,Female,7.2,3.7,0,No,100,7.8,Good,6,High School,Good,9,No,100,2025-06-10T22:25:08Z
S1132,17,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5,Bachelor,Average,5,Yes,74,2025-06-10T22:25:08Z
S1133,21,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4,Bachelor,Poor,2,Yes,78.4,2025-06-10T22:25:08Z
S1134,23,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2,Bachelor,Good,3,No,70.7,2025-06-10T22:25:08Z
S1135,21,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4,Bachelor,Good,8,No,74.3,2025-06-10T22:25:08Z
S1136,17,Female,4.9,3,3.6,No,91.1,6.7,Good,1,Bachelor,Good,4,No,67.6,2025-06-10T22:25:08Z
S1137,17,Male,3.1,4.2,0.8,No,69.4,7,Good,6,Bachelor,Poor,2,No,64.7,2025-06-10T22:25:08Z
S1138,23,Male,3.9,3.3,0.5,No,87,8.5,Fair,3,Master,Average,2,No,64.1,2025-06-10T22:25:08Z
S1139,17,Male,4,0.7,3.1,No,86,5.6,Good,6,High School,Poor,6,No,83.5,2025-06-10T22:25:08Z
S1140,24,Male,2.5,3.8,2.2,No,85.4,5,Good,6,High School,Good,8,No,63.4,2025-06-10T22:25:08Z
S1141,17,Male,5,1.3,0.8,No,95.4,5.4,Good,6,Bachelor,Good,7,No,96.2,2025-06-10T22:25:08Z
S1142,20,Male,3.2,2,2,No,88.3,4.9,Fair,4,Bachelor,Poor,4,Yes,65.4,2025-06-10T22:25:08Z
S1143,24,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3,,Good,2,No,62,2025-06-10T22:25:08Z
S1144,24,Male,4.3,4.9,3,No,75.1,8.4,Fair,5,Master,Good,9,Yes,74,2025-06-10T22:25:08Z
S1145,23,Female,2.2,6.2,3,No,86.4,6.9,Good,1,,Good,4,No,46.7,2025-06-10T22:25:08Z
S1146,19,Female,3.5,3.2,2.4,No,85.8,8,Poor,2,Bachelor,Good,9,No,75.5,2025-06-10T22:25:08Z
S1147,19,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3,Bachelor,Poor,5,Yes,78.1,2025-06-10T22:25:08Z
S1148,17,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1,Master,Good,7,No,85.2,2025-06-10T22:25:08Z
S1149,24,Female,4.2,3.6,1.8,Yes,100,6.1,Fair,3,,Poor,5,No,75.4,2025-06-10T22:25:08Z
S1150,19,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4,Bachelor,Average,2,No,64.2,2025-06-10T22:25:08Z
S1151,19,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1,High School,Good,6,No,69.7,2025-06-10T22:25:08Z
S1152,17,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4,High School,Good,7,No,90.3,2025-06-10T22:25:08Z
S1153,19,Female,4.3,3.1,0.7,No,77.9,6.5,Good,0,,Average,6,No,81.4,2025-06-10T22:25:08Z
S1154,21,Male,3.5,3.3,1.4,No,66.8,7.4,Fair,1,Bachelor,Good,3,No,65,2025-06-10T22:25:08Z
S1155,18,Male,1.5,3,2.3,No,77.9,6.6,Fair,3,High School,Good,10,No,57.3,2025-06-10T22:25:08Z
S1156,23,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair,0,High School,Good,8,No,57.7,2025-06-10T22:25:08Z
S1157,18,Male,3,1.8,0.7,No,100,5.5,Poor,4,Bachelor,Poor,3,No,56.7,2025-06-10T22:25:08Z
S1158,17,Female,2.6,1.8,3,No,83.8,6.6,Fair,4,Bachelor,Good,5,Yes,62.3,2025-06-10T22:25:08Z
S1159,20,Female,3.2,1.2,4.4,No,81.5,7.4,Good,3,Bachelor,Average,9,No,77.9,2025-06-10T22:25:08Z
S1160,23,Male,3.6,3,2,No,93.9,5.1,Fair,0,Master,Average,5,No,65.2,2025-06-10T22:25:08Z
S1161,17,Other,4.3,3.4,0.8,No,73.8,6.6,Good,6,High School,Average,7,No,76.8,2025-06-10T22:25:08Z
S1162,24,Female,3.4,3,0.1,No,77.3,6.8,Fair,5,Master,Average,7,No,83.8,2025-06-10T22:25:08Z
S1163,20,Male,4.2,4.5,2.1,No,85.7,5.6,Poor,2,Master,Good,5,No,70.6,2025-06-10T22:25:08Z
S1164,18,Male,3.6,2.5,3,No,95.3,5.8,Poor,3,High School,Average,2,Yes,63.1,2025-06-10T22:25:08Z
S1165,17,Male,0.5,3.3,2.3,No,90,6.8,Fair,4,High School,Good,5,No,39,2025-06-10T22:25:08Z
S1166,24,Male,2.1,1.2,1.8,No,87.5,5.1,Fair,1,High School,Average,7,No,66.7,2025-06-10T22:25:08Z
S1167,23,Male,3.3,2,1.2,Yes,85.8,6.9,Poor,0,High School,Good,7,No,72.2,2025-06-10T22:25:08Z
S1168,23,Male,1.7,3.3,0.6,No,89,5.4,Fair,5,Bachelor,Good,4,Yes,50.1,2025-06-10T22:25:08Z
S1169,22,Male,4.4,3.5,2.7,Yes,87,7.8,Fair,2,Bachelor,Good,1,No,62.4,2025-06-10T22:25:08Z
S1170,24,Male,5.8,2.1,2.8,No,74.7,9.3,Fair,1,Bachelor,Good,6,No,96.6,2025-06-10T22:25:08Z
S1171,21,Female,5.3,2.4,0.1,No,85.5,5.5,Good,0,Bachelor,Good,3,Yes,85.8,2025-06-10T22:25:08Z
S1172,19,Male,3.2,0.7,3.5,No,74.3,7.1,Good,5,High School,Good,5,No,68.3,2025-06-10T22:25:08Z
S1173,20,Female,5.7,2.1,2.4,No,85.8,5.6,Fair,3,Master,Good,4,Yes,83.8,2025-06-10T22:25:08Z
S1174,24,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good,5,High School,Poor,2,No,69.3,2025-06-10T22:25:08Z
S1175,22,Other,3,3.2,0.3,No,100,5,Good,3,Master,Good,7,No,65.3,2025-06-10T22:25:08Z
S1176,19,Male,2.6,3.1,0.3,No,84.6,7.1,Good,6,High School,Average,5,Yes,77.5,2025-06-10T22:25:08Z
S1177,19,Male,3,2.6,1.6,No,71,5.5,Fair,0,Master,Average,7,Yes,55,2025-06-10T22:25:08Z
S1178,17,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor,5,,Good,9,No,65.2,2025-06-10T22:25:08Z
S1179,19,Female,3.8,1.7,3.8,No,90.2,5.3,Good,2,High School,Average,4,No,58.1,2025-06-10T22:25:08Z
S1180,21,Female,3.7,3.3,2.6,Yes,100,7.5,Fair,5,,Good,5,No,69.2,2025-06-10T22:25:08Z
S1181,23,Male,3.5,3,1.5,Yes,79.1,5.5,Good,0,Bachelor,Average,9,No,67.4,2025-06-10T22:25:08Z
S1182,22,Male,4.2,3.1,0.7,No,69.2,7.2,Good,1,Master,Poor,10,No,79.9,2025-06-10T22:25:08Z
S1183,19,Female,5.3,1.9,3.2,No,93.2,6.1,Fair,1,High School,Average,4,Yes,85.7,2025-06-10T22:25:08Z
S1184,17,Female,4.9,0,0.7,No,71.2,6.4,Fair,5,Master,Poor,5,No,96.2,2025-06-10T22:25:08Z
S1185,21,Female,1.3,3.8,3.6,Yes,80.6,6.7,Fair,5,Bachelor,Good,5,No,40.4,2025-06-10T22:25:08Z
S1186,18,Female,0,1.9,1.5,No,82.4,5.6,Fair,3,Bachelor,Average,8,No,55.2,2025-06-10T22:25:08Z
S1187,23,Male,4.9,1.5,3.5,No,84.3,6.8,Fair,0,Bachelor,Average,4,No,73.8,2025-06-10T22:25:08Z
S1188,23,Female,1.4,3.3,2.5,No,91.9,8.3,Fair,3,High School,Poor,4,Yes,46.5,2025-06-10T22:25:08Z
S1189,22,Male,3.2,2,1.6,No,78.2,5.6,Fair,2,High School,Average,7,Yes,60.5,2025-06-10T22:25:08Z
S1190,23,Male,1.7,3.8,1.2,No,82.3,7.9,Poor,6,Master,Good,5,No,55.4,2025-06-10T22:25:08Z
S1191,19,Male,0.8,3.2,1.4,No,84.9,8.3,Good,1,Master,Average,6,No,45.1,2025-06-10T22:25:08Z
S1192,17,Female,4.3,3.3,2.3,No,86.5,5.5,Poor,4,Master,Good,6,No,69.4,2025-06-10T22:25:08Z
S1193,23,Male,4.6,0.9,1.9,No,86,4.8,Good,4,Master,Good,6,No,81.3,2025-06-10T22:25:08Z
S1194,23,Male,2.6,4,1.1,No,89.4,6.9,Good,0,High School,Good,10,No,66.6,2025-06-10T22:25:08Z
S1195,18,Female,0,2.8,1.6,No,93.4,5.8,Fair,0,Bachelor,Good,5,No,26.7,2025-06-10T22:25:08Z
S1196,18,Male,2.7,2.1,1.9,No,88.9,8.7,Good,4,High School,Poor,5,No,64.5,2025-06-10T22:25:08Z
S1197,20,Female,4.1,2.7,0,No,89.5,6.5,Fair,0,Master,Average,9,Yes,87.1,2025-06-10T22:25:08Z
S1198,21,Male,1.3,0.4,2.3,Yes,69.2,5.5,Good,1,High School,Good,8,Yes,42.2,2025-06-10T22:25:08Z
S1199,19,Female,3.8,3,0.7,No,85.5,5.1,Fair,2,Bachelor,Good,4,No,61.6,2025-06-10T22:25:08Z
S1200,23,Female,3.5,1.3,0.5,No,89.8,7.8,Fair,2,Bachelor,Good,7,No,81.9,2025-06-10T22:25:08Z
S1201,24,Male,4.4,0.9,0,No,92.3,5.8,Fair,3,High School,Good,8,No,96.5,2025-06-10T22:25:08Z
S1202,23,Male,3.7,0.7,0,No,78.1,6.6,Fair,1,,Average,9,No,85.1,2025-06-10T22:25:08Z
S1203,17,Male,2,3.8,0.3,No,78.4,7.6,Fair,6,Master,Poor,5,No,58.5,2025-06-10T22:25:08Z
S1204,20,Male,5.3,1.7,1,No,79.3,5.9,Fair,0,Bachelor,Good,3,Yes,78.4,2025-06-10T22:25:08Z
S1205,21,Other,3.3,4.3,3.9,No,90.4,6.4,Fair,0,High School,Good,4,No,56.4,2025-06-10T22:25:08Z
S1206,24,Male,3.5,1.9,1.2,No,95.3,6.5,Poor,6,Bachelor,Average,10,Yes,92.6,2025-06-10T22:25:08Z
S1207,20,Female,2.1,0.5,2,No,80.9,7.3,Poor,3,Bachelor,Good,6,Yes,62.3,2025-06-10T22:25:08Z
